Level	Code	Name	Calen	Start	Fin	Person	VolPlan	VolDone	VolRest	TeamDur	DurDone	DurRest
0	0	0	0	10140011	10140011	0	10110011	10110011	10110011	10110011	10110011	10110011
Уровень	Код	Название	Календарь	Начало периода	Окончание периода	Ответственный	Объём [Было]	Объём [Выполнено]	Объём [Остаток]	Длительность	 Часы [Было]	Часы [Остаток]
1	main	Приобретение программы	1	17.01.2007  08:00	19.01.2007  16:00							
2	Груша	Требования и рынок	1	17.01.2007  08:00	19.01.2007  16:00	ivanov	 petrov					
	ww	Операция4	1	17.01.2007  08:00	17.01.2007  08:00		40	40				
A	me	Менеджер проекта		17.01.2007  08:00	17.01.2007  08:00		40	40				
A	77	IT Аналитик		17.01.2007  08:00	17.01.2007  08:00		40	40				
	4	Операция 4	1	17.01.2007  08:00	19.01.2007  16:00		100	60	40	40	16	24
	sds	ssssssssssssssssss	1	17.01.2007  08:00	17.01.2007  08:00		97.6	97.6				
3	spamrd	Разработка требований	1	17.01.2007  08:00	19.01.2007  16:00							
	spamrd03	Функциональные требования	1	17.01.2007  08:00	17.01.2007  16:00		50	50		8		8
A	me	Менеджер проекта		17.01.2007  08:00	17.01.2007  16:00		50	50		8		8
A	77	IT Аналитик		17.01.2007  08:00	17.01.2007  16:00		50	50		8		8
A	bi	Бизнес аналитик		17.01.2007  08:00	17.01.2007  16:00		50	50		8		8
	spamrd04	Разработка критериев отбора	1	18.01.2007  08:00	19.01.2007  16:00		100	100		16		16
A	me	Менеджер проекта		18.01.2007  08:00	19.01.2007  16:00		100	100		16		16
A	77	IT Аналитик		18.01.2007  08:00	19.01.2007  16:00		100	100		16		16
A	bi	Бизнес аналитик		18.01.2007  08:00	19.01.2007  16:00		100	100		16		16
3	spammr	Исследование рынка	1	17.01.2007  08:00	19.01.2007  16:00							
	spammr01	Технические требования	1	17.01.2007  08:00	18.01.2007  16:00		33.3333333333333	33.3333333333333		16		16
A	77	IT Аналитик		17.01.2007  08:00	18.01.2007  16:00		33.3333333333333	33.3333333333333		16		16
	spammr02	Анализ рынка ПО	1	19.01.2007  08:00	19.01.2007  16:00		100	50	50	16	8	8
A	77	IT Аналитик		19.01.2007  08:00	19.01.2007  16:00		100	50	50	16	8	8
